Date,Adj Close,Close,High,Low,Open,Volume,SMA50,SMA150,SMA200,VolumeSMA50
1994-01-03,2.7521190643310547,3.515625,3.5625,3.46875,3.5625,2698400,,,,
1994-01-04,2.690960168838501,3.4375,3.53125,3.4375,3.53125,1789600,,,,
1994-01-05,2.7521190643310547,3.515625,3.5625,3.4375,3.453125,2921600,,,,
1994-01-06,2.788813352584839,3.5625,3.59375,3.5,3.53125,2971200,,,,
1994-01-07,2.886667251586914,3.6875,3.71875,3.53125,3.53125,4278400,,,,
1994-01-10,3.1312994956970215,4.0,4.03125,3.65625,3.65625,12229600,,,,
1994-01-11,3.082374334335327,3.9375,4.03125,3.90625,3.90625,5356800,,,,
1994-01-12,3.082374334335327,3.9375,4.0,3.875,3.9375,3300000,,,,
1994-01-13,3.0579099655151367,3.90625,3.96875,3.875,3.90625,932000,,,,
1994-01-14,3.045677661895752,3.890625,3.90625,3.765625,3.90625,6984000,,,,
1994-01-17,3.033446788787842,3.875,3.90625,3.84375,3.84375,721600,,,,
1994-01-18,3.008983612060547,3.84375,3.90625,3.84375,3.84375,1512800,,,,
1994-01-19,3.082374334335327,3.9375,3.96875,3.84375,3.875,1894400,,,,
1994-01-20,3.155762195587158,4.03125,4.03125,3.90625,3.96875,1222400,,,,
1994-01-21,3.3025429248809814,4.21875,4.375,3.96875,4.03125,10275200,,,,
1994-01-24,3.253615617752075,4.15625,4.25,4.125,4.125,4127200,,,,
1994-01-25,3.2780797481536865,4.1875,4.25,4.15625,4.15625,3884800,,,,
1994-01-26,3.290311336517334,4.203125,4.28125,4.1875,4.1875,1789600,,,,
1994-01-27,3.3270046710968018,4.25,4.3125,4.1875,4.1875,2645600,,,,
1994-01-28,3.3025429248809814,4.21875,4.3125,4.21875,4.25,776800,,,,
1994-01-31,3.4248597621917725,4.375,4.4375,4.21875,4.21875,3697600,,,,
1994-02-01,3.4126272201538086,4.359375,4.4375,4.3125,4.375,2227200,,,,
1994-02-02,3.351468801498413,4.28125,4.375,4.28125,4.34375,1293600,,,,
1994-02-03,3.3025429248809814,4.21875,4.3125,4.1875,4.28125,2138400,,,,
1994-02-04,3.094604969024658,3.953125,4.25,3.9375,4.1875,3248000,,,,
1994-02-07,3.2780797481536865,4.1875,4.21875,3.875,3.9375,3117600,,,,
1994-02-08,3.339237689971924,4.265625,4.375,4.21875,4.25,2541600,,,,
1994-02-09,3.253615617752075,4.15625,4.3125,4.15625,4.25,836800,,,,
1994-02-10,3.3270046710968018,4.25,4.3125,4.15625,4.15625,1397600,,,,
1994-02-11,3.3637001514434814,4.296875,4.3125,4.1875,4.21875,1401600,,,,
1994-02-14,3.4003963470458984,4.34375,4.40625,4.25,4.25,1684800,,,,
1994-02-15,3.253615617752075,4.15625,4.375,4.15625,4.34375,1761600,,,,
1994-02-16,3.253615617752075,4.15625,4.25,4.0625,4.15625,1950400,,,,
1994-02-17,3.2780797481536865,4.1875,4.25,4.140625,4.15625,975200,,,,
1994-02-18,3.253615617752075,4.15625,4.25,4.0625,4.25,911200,,,,
1994-02-22,3.1312994956970215,4.0,4.15625,3.96875,4.0625,3147200,,,,
1994-02-23,3.1068365573883057,3.96875,4.0625,3.9375,4.0,3140800,,,,
1994-02-24,3.0701422691345215,3.921875,4.03125,3.84375,3.96875,4179200,,,,
1994-02-25,3.119067907333374,3.984375,4.03125,3.84375,3.9375,2011200,,,,
1994-02-28,3.1802260875701904,4.0625,4.15625,4.0,4.0,2539200,,,,
1994-03-01,3.1802260875701904,4.0625,4.09375,3.96875,4.0625,1248000,,,,
1994-03-02,3.167994976043701,4.046875,4.09375,3.875,3.90625,1910400,,,,
1994-03-03,3.1312994956970215,4.0,4.0625,3.96875,4.03125,1415200,,,,
1994-03-04,3.082374334335327,3.9375,4.0,3.9375,3.9375,3984000,,,,
1994-03-07,3.2046895027160645,4.09375,4.09375,3.9375,3.9375,2552800,,,,
1994-03-08,3.2046895027160645,4.09375,4.09375,4.03125,4.03125,1101600,,,,
1994-03-09,3.2046895027160645,4.09375,4.125,4.03125,4.03125,847200,,,,
1994-03-10,3.229152202606201,4.125,4.125,4.0625,4.09375,1105600,,,,
1994-03-11,3.253615617752075,4.15625,4.15625,4.0625,4.0625,3196000,,,,
1994-03-14,3.0579099655151367,3.90625,4.15625,3.90625,4.15625,1287200,4.0421875,,,2703216.0
1994-03-15,3.0579099655151367,3.90625,3.96875,3.90625,3.96875,650400,4.05,,,2662256.0
1994-03-16,3.082374334335327,3.9375,3.9375,3.875,3.9375,932000,4.06,,,2645104.0
1994-03-17,3.0579099655151367,3.90625,4.0,3.875,3.9375,2272800,4.0678125,,,2632128.0
1994-03-18,3.1312994956970215,4.0,4.0,3.9375,3.96875,1638400,4.0765625,,,2605472.0
1994-03-21,3.1068365573883057,3.96875,4.03125,3.9375,3.9375,2208800,4.0821875,,,2564080.0
1994-03-22,3.1068365573883057,3.96875,4.03125,3.96875,3.96875,1120000,4.0815625,,,2341888.0
1994-03-23,3.119067907333374,3.984375,4.03125,3.9375,4.0,1317600,4.0825,,,2261104.0
1994-03-24,3.033446788787842,3.875,3.96875,3.875,3.96875,2397600,4.08125,,,2243056.0
1994-03-25,2.960057497024536,3.78125,3.9375,3.75,3.875,1566400,4.07875,,,2255744.0
1994-03-28,2.7154242992401123,3.46875,3.78125,3.46875,3.75,3689600,4.0703125,,,2189856.0
1994-03-29,2.6420352458953857,3.375,3.5625,3.25,3.546875,6216800,4.0603125,,,2299760.0
1994-03-30,2.6175713539123535,3.34375,3.46875,3.25,3.34375,9893600,4.0503125,,,2467376.0
1994-03-31,2.690960168838501,3.4375,3.46875,3.34375,3.46875,2960800,4.0403125,,,2488704.0
1994-04-04,2.764350652694702,3.53125,3.625,3.3125,3.375,2800000,4.0303125,,,2520256.0
1994-04-05,2.837740659713745,3.625,3.640625,3.53125,3.5625,1432000,4.0184375,,,2343392.0
1994-04-06,2.8132784366607666,3.59375,3.6875,3.59375,3.65625,1472000,4.0071875,,,2290288.0
