Date,Adj Close,Close,High,Low,Open,Volume,SMA50,SMA150,SMA200,VolumeSMA50
1990-04-03,2.109131097793579,2.375,2.375,1.75,1.75,1001200,,,,
1990-04-04,2.109131097793579,2.375,2.5625,2.375,2.375,92400,,,,
1990-04-05,2.3311448097229004,2.625,2.625,2.4375,2.4375,7200,,,,
1990-04-06,2.3311448097229004,2.625,2.625,2.375,2.625,42800,,,,
1990-04-09,2.275641679763794,2.5625,2.625,2.375,2.625,16800,,,,
1990-04-10,2.22013783454895,2.5,2.625,2.375,2.5625,12800,,,,
1990-04-11,2.275641679763794,2.5625,2.625,2.375,2.5,19200,,,,
1990-04-12,2.164634943008423,2.4375,2.5625,2.375,2.5625,99600,,,,
1990-04-16,2.275641679763794,2.5625,2.5625,2.5,2.5,26000,,,,
1990-04-17,2.22013783454895,2.5,2.5625,2.5,2.5625,2800,,,,
1990-04-18,2.22013783454895,2.5,2.5625,2.5,2.5,2800,,,,
1990-04-19,2.109131097793579,2.375,2.375,2.375,2.375,2400,,,,
1990-04-20,2.22013783454895,2.5,2.5625,2.375,2.375,8000,,,,
1990-04-23,2.22013783454895,2.5,2.5625,2.3125,2.5,12400,,,,
1990-04-24,2.22013783454895,2.5,2.5,2.5,2.5,1200,,,,
1990-04-25,2.109131097793579,2.375,2.4375,2.3125,2.4375,17600,,,,
1990-04-26,2.22013783454895,2.5,2.5,2.5,2.5,400,,,,
1990-04-27,2.0536274909973145,2.3125,2.5,2.3125,2.5,16400,,,,
1990-04-30,2.22013783454895,2.5,2.5,2.5,2.5,4800,,,,
1990-05-01,2.0536274909973145,2.3125,2.3125,2.3125,2.3125,3600,,,,
1990-05-02,2.1923863887786865,2.46875,2.5,2.46875,2.46875,13600,,,,
1990-05-03,2.22013783454895,2.5,2.5,2.5,2.5,400,,,,
1990-05-04,2.22013783454895,2.5,2.5,2.5,2.5,400,,,,
1990-05-07,2.0536274909973145,2.3125,2.5,2.3125,2.5,29200,,,,
1990-05-08,2.22013783454895,2.5,2.5,2.3125,2.3125,27200,,,,
1990-05-09,2.0536274909973145,2.3125,2.3125,2.3125,2.3125,800,,,,
1990-05-10,2.0536274909973145,2.3125,2.3125,2.3125,2.3125,0,,,,
1990-05-11,2.22013783454895,2.5,2.5,2.5,2.5,1200,,,,
1990-05-14,2.22013783454895,2.5,2.5,2.5,2.5,800,,,,
1990-05-15,2.275641679763794,2.5625,2.5625,2.5625,2.5625,400,,,,
1990-05-16,2.275641679763794,2.5625,2.5625,2.3125,2.5625,26400,,,,
1990-05-17,2.275641679763794,2.5625,2.5625,2.46875,2.5625,8800,,,,
1990-05-18,2.275641679763794,2.5625,2.5625,2.3125,2.5625,67600,,,,
1990-05-21,2.275641679763794,2.5625,2.5625,2.3125,2.5625,23200,,,,
1990-05-22,2.275641679763794,2.5625,2.5625,2.375,2.5625,27200,,,,
1990-05-23,2.3311448097229004,2.625,2.625,2.4375,2.5625,120800,,,,
1990-05-24,2.6086621284484863,2.9375,2.9375,2.5,2.625,136000,,,,
1990-05-25,2.553158760070801,2.875,2.9375,2.875,2.9375,8400,,,,
1990-05-29,2.6086621284484863,2.9375,2.9375,2.9375,2.9375,4800,,,,
1990-05-30,2.7196695804595947,3.0625,3.0625,2.75,2.9375,45600,,,,
1990-05-31,2.775172710418701,3.125,3.125,3.0,3.0625,16400,,,,
1990-06-01,2.775172710418701,3.125,3.125,3.0,3.125,3200,,,,
1990-06-04,2.664165735244751,3.0,3.1875,3.0,3.125,46800,,,,
1990-06-05,2.775172710418701,3.125,3.125,3.0,3.0,69200,,,,
1990-06-06,2.8306758403778076,3.1875,3.1875,3.0,3.125,41600,,,,
1990-06-07,2.775172710418701,3.125,3.1875,3.0,3.1875,16800,,,,
1990-06-08,2.7474210262298584,3.09375,3.1875,3.03125,3.125,72400,,,,
1990-06-11,2.664165735244751,3.0,3.125,3.0,3.09375,12800,,,,
1990-06-12,2.775172710418701,3.125,3.125,3.0,3.0,181600,,,,
1990-06-13,2.775172710418701,3.125,3.125,3.0,3.125,348800,2.645,,,54856.0
1990-06-14,2.775172710418701,3.125,3.125,3.0,3.125,24400,2.66,,,35320.0
1990-06-15,2.775172710418701,3.125,3.125,3.0,3.125,189200,2.675,,,37256.0
1990-06-18,2.775172710418701,3.125,3.125,3.09375,3.125,29200,2.685,,,37696.0
1990-06-19,2.8306758403778076,3.1875,3.1875,3.0625,3.125,400400,2.69625,,,44848.0
1990-06-20,2.7196695804595947,3.0625,3.1875,3.0625,3.1875,86000,2.70625,,,46232.0
1990-06-21,2.7196695804595947,3.0625,3.1875,3.0625,3.0625,92400,2.7175,,,47824.0
1990-06-22,2.802924156188965,3.15625,3.25,3.0625,3.0625,114400,2.729375,,,49728.0
1990-06-25,2.8861794471740723,3.25,3.25,3.0625,3.15625,266400,2.745625,,,53064.0
1990-06-26,2.941683292388916,3.3125,3.4375,3.125,3.25,517600,2.760625,,,62896.0
1990-06-27,3.3857109546661377,3.8125,3.8125,3.375,3.375,399600,2.786875,,,70832.0
1990-06-28,3.6632280349731445,4.125,4.1875,3.6875,3.8125,474000,2.819375,,,80256.0
1990-06-29,3.441214084625244,3.875,4.1875,3.875,4.125,269200,2.849375,,,85592.0
1990-07-02,3.6632280349731445,4.125,4.125,3.875,3.875,97600,2.881875,,,87384.0
1990-07-03,3.607724189758301,4.0625,4.15625,4.0625,4.125,167200,2.913125,,,90480.0
1990-07-05,3.607724189758301,4.0625,4.125,4.0625,4.0625,11600,2.944375,,,90688.0
1990-07-06,3.4967174530029297,3.9375,4.0625,3.8125,4.0625,71600,2.975625,,,91768.0
1990-07-09,3.330207347869873,3.75,3.875,3.65625,3.875,55600,3.000625,,,92872.0
1990-07-10,3.2192001342773438,3.625,3.75,3.59375,3.75,103200,3.026875,,,94608.0
1990-07-11,3.3857109546661377,3.8125,3.8125,3.6875,3.6875,61600,3.053125,,,95744.0
1990-07-12,3.1636970043182373,3.5625,3.78125,3.5625,3.78125,57200,3.078125,,,96816.0
1990-07-13,3.1636970043182373,3.5625,3.6875,3.5625,3.5625,235200,3.1,,,101248.0
1990-07-16,3.1636970043182373,3.5625,3.625,3.5625,3.5625,43200,3.12125,,,102104.0
1990-07-17,3.2747039794921875,3.6875,3.6875,3.5625,3.5625,171200,3.145,,,105520.0
1990-07-18,3.2747039794921875,3.6875,3.6875,3.59375,3.6875,2400,3.1725,,,104984.0
1990-07-19,3.1636970043182373,3.5625,3.6875,3.5625,3.6875,25600,3.19375,,,104952.0
1990-07-20,3.2469518184661865,3.65625,3.6875,3.5625,3.5625,45200,3.220625,,,105840.0
1990-07-23,3.191448450088501,3.59375,3.65625,3.5625,3.65625,107200,3.24625,,,107984.0
1990-07-24,3.191448450088501,3.59375,3.6875,3.59375,3.59375,12000,3.268125,,,108200.0
1990-07-25,3.2192001342773438,3.625,3.6875,3.625,3.625,52400,3.290625,,,109232.0
1990-07-26,3.2747039794921875,3.6875,3.6875,3.625,3.625,25200,3.313125,,,109728.0
1990-07-27,3.2192001342773438,3.625,3.6875,3.625,3.6875,20800,3.334375,,,109616.0
