Date,Symbol,Open,High,Low,Close,Volume
2023-12-01,KTKBANK,218.89999389648438,220.9499969482422,217.35000610351562,218.3000030517578,1067344
2023-12-04,KTKBANK,222.5500030517578,224.4499969482422,220.1999969482422,221.5500030517578,1756164
2023-12-05,KTKBANK,222.89999389648438,223.85000610351562,220.60000610351562,222.10000610351562,1227346
2023-12-06,KTKBANK,223.0,223.39999389648438,220.3000030517578,221.0,1061042
2023-12-07,KTKBANK,220.3000030517578,221.0,218.1999969482422,218.9499969482422,886252
2023-12-08,KTKBANK,219.64999389648438,222.35000610351562,219.25,221.35000610351562,1902718
2023-12-11,KTKBANK,223.0,224.9499969482422,222.10000610351562,223.0,1898492
2023-12-12,KTKBANK,224.0,235.6999969482422,223.35000610351562,230.6999969482422,6380014
2023-12-13,KTKBANK,234.60000610351562,245.0,234.0,243.75,7422044
2023-12-14,KTKBANK,246.0,247.64999389648438,240.0,241.89999389648438,3146915
2023-12-15,KTKBANK,242.1999969482422,243.8000030517578,238.60000610351562,240.35000610351562,1878324
2023-12-18,KTKBANK,240.35000610351562,244.8000030517578,237.0,240.0,1807452
2023-12-19,KTKBANK,242.5,243.10000610351562,238.3000030517578,239.89999389648438,1097202
2023-12-20,KTKBANK,241.39999389648438,243.1999969482422,227.0,230.4499969482422,1831916
2023-12-21,KTKBANK,230.4499969482422,234.39999389648438,225.5,232.8000030517578,1385159
2023-12-22,KTKBANK,234.6999969482422,239.4499969482422,233.60000610351562,237.85000610351562,987566
2023-12-26,KTKBANK,239.0,239.0,233.75,235.6999969482422,816632
2023-12-27,KTKBANK,236.89999389648438,237.89999389648438,233.5,234.5500030517578,690193
2023-12-28,KTKBANK,235.5,238.89999389648438,234.75,235.1999969482422,1051476
2023-12-29,KTKBANK,235.85000610351562,236.1999969482422,233.39999389648438,234.0500030517578,698062
2024-01-01,KTKBANK,234.0500030517578,238.60000610351562,233.39999389648438,237.5500030517578,1000035
2024-01-02,KTKBANK,237.60000610351562,238.4499969482422,232.8000030517578,234.14999389648438,885210
2024-01-03,KTKBANK,234.1999969482422,237.3000030517578,232.5,235.6999969482422,1029039
2024-01-04,KTKBANK,235.6999969482422,237.85000610351562,235.0,237.25,812337
2024-01-05,KTKBANK,238.0,242.39999389648438,235.0,237.75,1657023
2024-01-08,KTKBANK,239.0,239.6999969482422,232.89999389648438,233.85000610351562,1040024
2024-01-09,KTKBANK,235.14999389648438,241.1999969482422,234.5500030517578,238.6999969482422,1805634
2024-01-10,KTKBANK,238.75,240.85000610351562,235.3000030517578,237.60000610351562,1840030
2024-01-11,KTKBANK,238.5500030517578,257.8999938964844,237.3000030517578,253.5,9490634
2024-01-12,KTKBANK,257.0,275.54998779296875,256.25,272.5,12484207
2024-01-15,KTKBANK,275.1000061035156,282.20001220703125,275.1000061035156,276.8500061035156,4837504
2024-01-16,KTKBANK,276.45001220703125,277.8500061035156,266.6000061035156,272.29998779296875,2854810
2024-01-17,KTKBANK,268.0,272.6499938964844,263.20001220703125,270.75,2685869
2024-01-18,KTKBANK,267.0,278.8999938964844,261.0,274.3999938964844,3403062
2024-01-19,KTKBANK,276.5,277.79998779296875,271.04998779296875,274.8500061035156,1667319
2024-01-23,KTKBANK,285.0,285.0,265.29998779296875,266.70001220703125,2315298
2024-01-24,KTKBANK,252.89999389648438,252.89999389648438,233.10000610351562,245.35000610351562,8337486
2024-01-25,KTKBANK,246.0500030517578,254.10000610351562,243.5,246.5500030517578,2856694
2024-01-29,KTKBANK,250.0,253.89999389648438,244.60000610351562,247.25,2450443
2024-01-30,KTKBANK,248.6999969482422,250.39999389648438,245.8000030517578,247.4499969482422,1361200
2024-01-31,KTKBANK,248.1999969482422,255.6999969482422,246.5500030517578,254.4499969482422,1967837
2024-02-01,KTKBANK,255.89999389648438,258.29998779296875,250.5,254.4499969482422,1724153
2024-02-02,KTKBANK,255.0,263.25,254.89999389648438,257.79998779296875,2445857
2024-02-05,KTKBANK,258.0,259.95001220703125,252.1999969482422,256.8999938964844,1592078
2024-02-06,KTKBANK,256.8999938964844,262.3500061035156,254.14999389648438,259.8999938964844,1753877
2024-02-07,KTKBANK,261.0,263.8999938964844,256.1000061035156,256.75,1239915
2024-02-08,KTKBANK,258.8500061035156,259.3999938964844,251.85000610351562,253.6999969482422,1031060
2024-02-09,KTKBANK,253.6999969482422,254.3000030517578,245.0500030517578,249.3000030517578,1180568
2024-02-12,KTKBANK,250.0,251.10000610351562,235.5500030517578,238.0500030517578,1170798
2024-02-13,KTKBANK,238.0,242.89999389648438,230.0500030517578,241.75,1154260
2024-02-14,KTKBANK,238.9499969482422,245.35000610351562,237.25,243.4499969482422,646449
2024-02-15,KTKBANK,244.5,248.10000610351562,241.9499969482422,244.14999389648438,1252306
2024-02-16,KTKBANK,246.0,256.0,246.0,252.75,2135431
2024-02-19,KTKBANK,255.0,259.8999938964844,250.0,251.3000030517578,1345586
2024-02-20,KTKBANK,251.3000030517578,252.6999969482422,246.10000610351562,246.9499969482422,948884
2024-02-21,KTKBANK,248.39999389648438,249.6999969482422,242.5,243.10000610351562,2458280
2024-02-22,KTKBANK,245.8000030517578,245.8000030517578,239.8000030517578,242.89999389648438,655324
2024-02-23,KTKBANK,244.0,245.5,239.4499969482422,240.85000610351562,1264514
