Date,Open,High,Low,Close,Volume,Symbol
2023-12-04,32888.19921875,32888.19921875,32522.44921875,32665.55078125,16800,NIFTYIT
2023-12-05,32754.0,32755.19921875,32252.44921875,32479.150390625,19000,NIFTYIT
2023-12-06,32560.150390625,33073.05078125,32529.30078125,33022.6015625,25300,NIFTYIT
2023-12-07,33053.6484375,33111.6484375,32891.75,32961.6015625,16800,NIFTYIT
2023-12-08,33098.6484375,33452.3984375,33012.69921875,33392.8984375,25700,NIFTYIT
2023-12-11,33424.0,33615.69921875,33332.5,33514.25,16300,NIFTYIT
2023-12-12,33484.80078125,33799.80078125,33358.0,33493.8984375,19700,NIFTYIT
2023-12-13,33466.30078125,33497.44921875,32715.650390625,33066.6484375,23500,NIFTYIT
2023-12-14,33451.94921875,34308.55078125,33419.1015625,34223.3515625,44000,NIFTYIT
2023-12-15,34427.55078125,35947.6015625,34427.55078125,35782.44921875,67500,NIFTYIT
2023-12-18,35707.30078125,36132.0,35487.94921875,35685.55078125,27600,NIFTYIT
2023-12-19,35728.3984375,35762.1015625,35091.94921875,35345.0,20600,NIFTYIT
2023-12-20,35492.80078125,35928.5,34621.0,34741.05078125,32400,NIFTYIT
2023-12-21,34406.80078125,35020.0,34394.55078125,34846.05078125,19900,NIFTYIT
2023-12-22,34974.6484375,35770.44921875,34740.1484375,35637.80078125,39200,NIFTYIT
2023-12-26,35421.1484375,35682.6484375,35185.44921875,35493.44921875,40100,NIFTYIT
2023-12-27,35557.30078125,35814.69921875,35447.1015625,35741.0,22900,NIFTYIT
2023-12-28,35812.0,35850.3984375,35614.80078125,35691.6484375,21700,NIFTYIT
2023-12-29,35559.3984375,35781.1015625,35395.05078125,35515.0,18000,NIFTYIT
2024-01-01,35496.3984375,35890.75,35353.8515625,35695.8984375,17600,NIFTYIT
2024-01-02,35668.05078125,35701.80078125,35106.1484375,35283.1015625,18400,NIFTYIT
2024-01-03,35039.05078125,35076.94921875,34367.75,34395.44921875,24900,NIFTYIT
2024-01-04,34552.94921875,34800.3515625,34236.6015625,34409.3984375,26900,NIFTYIT
2024-01-05,34469.69921875,34991.55078125,34459.44921875,34851.75,24600,NIFTYIT
2024-01-08,34876.6484375,34881.80078125,34419.75,34514.6484375,15000,NIFTYIT
2024-01-09,34926.6484375,35139.3515625,34608.44921875,34662.44921875,18700,NIFTYIT
2024-01-10,34693.0,34941.0,34546.94921875,34834.3515625,16300,NIFTYIT
2024-01-11,34978.30078125,35104.94921875,34665.1015625,34735.25,21900,NIFTYIT
2024-01-12,35673.0,36581.1015625,35659.55078125,36521.69921875,67100,NIFTYIT
2024-01-15,37538.44921875,37929.30078125,37109.3515625,37201.94921875,99200,NIFTYIT
2024-01-16,37132.3984375,37132.3984375,36600.44921875,36727.1015625,28800,NIFTYIT
2024-01-17,36299.6015625,37107.19921875,36289.30078125,36960.3984375,35600,NIFTYIT
2024-01-18,36784.3515625,36826.44921875,36136.3984375,36730.5,34200,NIFTYIT
2024-01-19,37065.0,37263.94921875,36831.3515625,37069.25,24400,NIFTYIT
2024-01-23,36958.30078125,37383.44921875,36424.8984375,36521.3515625,31200,NIFTYIT
2024-01-24,36761.6015625,37174.19921875,36435.30078125,37090.1484375,23600,NIFTYIT
2024-01-25,36938.6015625,36938.6015625,36354.1015625,36496.19921875,30800,NIFTYIT
2024-01-29,36553.80078125,36653.25,36351.5,36531.8984375,18300,NIFTYIT
2024-01-30,36682.1015625,37022.8984375,36321.1015625,36381.94921875,19500,NIFTYIT
2024-01-31,36373.94921875,36704.5,36228.8515625,36638.3984375,25100,NIFTYIT
2024-02-01,36632.5,36951.3984375,36451.1484375,36534.55078125,18700,NIFTYIT
2024-02-02,36730.1484375,37663.94921875,36729.94921875,37323.25,26900,NIFTYIT
2024-02-05,37441.0,37574.44921875,37097.94921875,37162.1484375,15400,NIFTYIT
2024-02-06,37267.1484375,38286.0,37161.6015625,38246.30078125,36900,NIFTYIT
2024-02-07,38345.3984375,38373.44921875,37734.55078125,37767.75,17800,NIFTYIT
2024-02-08,37893.44921875,38101.5,37625.75,37851.6015625,20900,NIFTYIT
2024-02-09,37891.5,38082.05078125,37443.75,37699.25,16100,NIFTYIT
2024-02-12,37770.0,38285.3515625,37770.0,37998.0,38300,NIFTYIT
2024-02-13,38070.3984375,38258.5,37605.30078125,38204.0,20500,NIFTYIT
2024-02-14,37724.75,37844.69921875,37200.05078125,37775.3984375,23000,NIFTYIT
2024-02-15,38053.30078125,38270.44921875,37735.6015625,37999.55078125,19200,NIFTYIT
2024-02-16,38211.55078125,38516.55078125,38131.8515625,38477.05078125,29500,NIFTYIT
2024-02-19,38526.94921875,38559.8515625,38042.6484375,38363.19921875,17700,NIFTYIT
2024-02-20,38190.75,38347.8984375,37780.19921875,38029.69921875,15700,NIFTYIT
2024-02-21,37938.8515625,38001.44921875,37302.6015625,37405.8984375,18900,NIFTYIT
2024-02-22,37535.75,38192.1015625,37395.3515625,38130.1484375,23900,NIFTYIT
2024-02-23,38487.5,38490.44921875,37980.1015625,38045.6484375,22900,NIFTYIT
2024-02-26,37991.8984375,38005.8515625,37384.8984375,37598.6484375,14500,NIFTYIT
2024-02-27,37606.69921875,37929.30078125,37606.69921875,37870.25,17900,NIFTYIT
2024-02-28,37926.6484375,38138.3515625,37594.5,37741.75,14800,NIFTYIT
2024-02-29,37616.19921875,37896.05078125,37414.94921875,37720.3984375,26400,NIFTYIT
2024-03-01,37823.69921875,37888.8515625,37462.8515625,37516.05078125,18800,NIFTYIT
2024-03-04,37634.25,37733.25,37279.44921875,37314.80078125,14500,NIFTYIT
2024-03-05,37180.05078125,37202.30078125,36613.1015625,36720.75,18100,NIFTYIT
2024-03-06,36627.6484375,37050.1484375,36134.0,37001.80078125,20100,NIFTYIT
2024-03-07,37057.94921875,37318.94921875,36838.3515625,37099.8984375,20500,NIFTYIT
2024-03-11,37082.0,37203.8515625,36820.3515625,36988.30078125,21000,NIFTYIT
2024-03-12,36991.5,37568.94921875,36981.69921875,37224.25,20600,NIFTYIT
2024-03-13,37320.80078125,37556.6015625,36689.1015625,36946.44921875,21800,NIFTYIT
