Date,Open,High,Low,Close,Volume,Symbol
2023-12-04,30407.44921875,30437.25,30084.099609375,30330.5,2180500,NIFTY ENERGY
2023-12-05,30526.0,31344.099609375,30305.099609375,31311.900390625,2257800,NIFTY ENERGY
2023-12-06,31750.80078125,32024.099609375,31525.349609375,31797.25,2189100,NIFTY ENERGY
2023-12-07,31867.75,32299.75,31833.599609375,32188.80078125,3059400,NIFTY ENERGY
2023-12-08,32391.849609375,32409.5,31542.55078125,31896.25,1940700,NIFTY ENERGY
2023-12-11,31971.900390625,32159.5,31910.849609375,32023.05078125,1411700,NIFTY ENERGY
2023-12-12,32027.80078125,32074.400390625,31481.650390625,31603.19921875,1005500,NIFTY ENERGY
2023-12-13,31653.349609375,31853.400390625,31495.150390625,31812.099609375,1507200,NIFTY ENERGY
2023-12-14,32085.80078125,32151.099609375,31924.650390625,32075.80078125,1420100,NIFTY ENERGY
2023-12-15,32313.19921875,32675.650390625,32095.75,32580.650390625,1921900,NIFTY ENERGY
2023-12-18,32640.05078125,32640.05078125,32393.849609375,32521.25,1129100,NIFTY ENERGY
2023-12-19,32754.25,33126.19921875,32496.44921875,33036.1484375,1267800,NIFTY ENERGY
2023-12-20,33236.3984375,33574.1015625,32077.349609375,32151.599609375,2170600,NIFTY ENERGY
2023-12-21,31925.25,32781.5,31787.05078125,32720.099609375,1354200,NIFTY ENERGY
2023-12-22,32863.25,33042.5,32573.400390625,32810.1484375,944700,NIFTY ENERGY
2023-12-26,32955.05078125,33308.25,32918.3984375,33246.25,1081600,NIFTY ENERGY
2023-12-27,33473.3984375,33537.30078125,33091.3984375,33212.6015625,936400,NIFTY ENERGY
2023-12-28,33345.6015625,33784.80078125,33262.94921875,33721.3984375,2304500,NIFTY ENERGY
2023-12-29,33678.8984375,33679.5,33287.3515625,33468.05078125,1148300,NIFTY ENERGY
2024-01-02,33632.1015625,33791.3984375,33238.1484375,33703.69921875,1173000,NIFTY ENERGY
2024-01-03,33902.55078125,34074.6484375,33657.1015625,33791.6015625,1148800,NIFTY ENERGY
2024-01-04,33974.8984375,34328.05078125,33863.19921875,34189.25,1706100,NIFTY ENERGY
2024-01-05,34387.69921875,34503.80078125,34067.25,34216.1484375,1426700,NIFTY ENERGY
2024-01-08,34374.6015625,34472.8984375,34046.6484375,34142.6015625,1082200,NIFTY ENERGY
2024-01-09,34379.1015625,34460.94921875,34184.6015625,34226.69921875,830400,NIFTY ENERGY
2024-01-10,34188.75,34374.30078125,33791.6484375,34330.6484375,1153800,NIFTY ENERGY
2024-01-11,34529.0,34831.3515625,34493.6484375,34776.69921875,1274500,NIFTY ENERGY
2024-01-12,34910.19921875,35016.44921875,34571.0,34969.94921875,1305900,NIFTY ENERGY
2024-01-15,35190.8515625,35480.1015625,34807.6484375,35449.8515625,1369700,NIFTY ENERGY
2024-01-16,35456.19921875,35495.55078125,35062.19921875,35185.05078125,1613200,NIFTY ENERGY
2024-01-17,34945.0,35319.8984375,34718.25,34853.25,1391700,NIFTY ENERGY
2024-01-18,34532.6015625,34846.1015625,34066.5,34580.5,1507600,NIFTY ENERGY
2024-01-19,34881.05078125,35034.19921875,34679.3984375,34985.30078125,1433000,NIFTY ENERGY
2024-01-23,35845.0,35846.44921875,34124.55078125,34324.30078125,1729600,NIFTY ENERGY
2024-01-24,34440.25,34982.8515625,34104.5,34895.1015625,1827500,NIFTY ENERGY
2024-01-25,34979.8515625,35330.0,34876.80078125,35203.8515625,1622800,NIFTY ENERGY
2024-01-29,35542.25,37106.5,35468.3984375,37024.75,2276400,NIFTY ENERGY
2024-01-30,37221.94921875,37221.94921875,36346.25,36398.80078125,1994100,NIFTY ENERGY
2024-01-31,36470.75,36827.8515625,36460.30078125,36748.0,1748000,NIFTY ENERGY
2024-02-01,36978.30078125,37237.6484375,36714.05078125,36910.6015625,1625800,NIFTY ENERGY
