Date,Open,High,Low,Close,Volume,Symbol
2023-12-04,16372.0498046875,16389.099609375,16183.0498046875,16228.400390625,17996000,NIFTY PHARMA
2023-12-05,16248.2001953125,16304.7998046875,16174.150390625,16229.650390625,15021000,NIFTY PHARMA
2023-12-06,16297.400390625,16356.650390625,16106.9501953125,16169.5498046875,17480100,NIFTY PHARMA
2023-12-07,16163.2998046875,16305.900390625,16137.5,16294.2001953125,19038800,NIFTY PHARMA
2023-12-08,16311.0498046875,16365.599609375,16079.2998046875,16163.150390625,18025500,NIFTY PHARMA
2023-12-11,16077.900390625,16089.9501953125,15909.5498046875,16039.900390625,17800600,NIFTY PHARMA
2023-12-12,16109.7998046875,16167.9501953125,15914.2998046875,15963.5,17426500,NIFTY PHARMA
2023-12-13,15986.849609375,16168.5498046875,15938.75,16142.400390625,20396200,NIFTY PHARMA
2023-12-14,16202.2998046875,16210.7001953125,16089.75,16155.7001953125,20964200,NIFTY PHARMA
2023-12-15,16250.900390625,16258.2998046875,16150.5,16179.7998046875,23257200,NIFTY PHARMA
2023-12-18,16196.400390625,16438.75,16161.599609375,16332.150390625,31498800,NIFTY PHARMA
2023-12-19,16407.80078125,16433.80078125,16228.2998046875,16391.25,19402800,NIFTY PHARMA
2023-12-20,16461.75,16467.80078125,16086.0,16121.25,23821300,NIFTY PHARMA
2023-12-21,16048.400390625,16278.2001953125,15868.150390625,16238.150390625,19771000,NIFTY PHARMA
2023-12-22,16312.5,16500.900390625,16281.4501953125,16394.349609375,29445900,NIFTY PHARMA
2023-12-26,16418.599609375,16580.650390625,16385.69921875,16562.599609375,24416100,NIFTY PHARMA
2023-12-27,16609.0,16690.900390625,16530.44921875,16655.94921875,20504800,NIFTY PHARMA
2023-12-28,16698.099609375,16894.099609375,16617.349609375,16860.849609375,28726200,NIFTY PHARMA
2023-12-29,16878.94921875,16909.099609375,16769.5,16831.80078125,15391600,NIFTY PHARMA
2024-01-01,16859.5,16914.099609375,16819.0,16858.75,20454600,NIFTY PHARMA
