case_id,ticker,pattern_type,entry_date,entry_price,risk_pct,trend_score,vcp_quality,max_gain_20d,max_dd_20d,chart
trade-like-a-stock-market-wizard-p260-GOOG,GOOG,cheat-entry,2006-06-21,10.02,8.0,7,loose,6.41,-4.1,assets/replicated_charts/trade-like-a-stock-market-wizard-p260-goog_replicated.png
think-and-trade-like-a-champion-p039-MU,MU,squat-recovery,2015-01-06,32.87,8.0,8,clear-tightening,3.04,-14.54,assets/replicated_charts/think-and-trade-like-a-champion-p039-mu_replicated.png
trade-like-a-stock-market-wizard-p182-AMZN,AMZN,pivot-breakout,2004-07-22,2.29,8.0,3,loose,-6.68,-23.94,assets/replicated_charts/trade-like-a-stock-market-wizard-p182-amzn_replicated.png
trade-like-a-stock-market-wizard-p086-AMGN,AMGN,stage-2-example,1994-01-14,6.41,8.0,7,constructive,1.46,-20.0,assets/replicated_charts/trade-like-a-stock-market-wizard-p086-amgn_replicated.png
trade-like-a-stock-market-wizard-p104-CMG,CMG,stage-analysis,2013-10-22,10.4,8.0,8,loose,5.82,-1.02,assets/replicated_charts/trade-like-a-stock-market-wizard-p104-cmg_replicated.png
trade-like-a-stock-market-wizard-p092-WTW,WTW,stage-analysis,2013-04-30,105.11,8.0,6,constructive,8.42,-0.63,assets/replicated_charts/trade-like-a-stock-market-wizard-p092-wtw_replicated.png
think-and-trade-like-a-champion-p157-TSLA,TSLA,climax-top,2016-01-04,14.89,8.0,3,clear-tightening,1.56,-19.33,assets/replicated_charts/think-and-trade-like-a-champion-p157-tsla_replicated.png
trade-like-a-stock-market-wizard-p190-AMGN,AMGN,relative-strength,1992-01-02,9.34,8.0,8,constructive,4.68,-11.71,assets/replicated_charts/trade-like-a-stock-market-wizard-p190-amgn_replicated.png
trade-like-a-stock-market-wizard-p099-NFLX,NFLX,trend-reversal,2013-01-25,2.42,8.0,6,constructive,16.55,-7.63,assets/replicated_charts/trade-like-a-stock-market-wizard-p099-nflx_replicated.png
think-and-trade-like-a-champion-p157-AMZN,AMZN,climax-top,2001-01-24,1.09,8.0,1,loose,-0.57,-48.29,assets/replicated_charts/think-and-trade-like-a-champion-p157-amzn_replicated.png
trade-like-a-stock-market-wizard-p196-AAPL,AAPL,pyramiding,2005-10-20,2.01,8.0,8,loose,17.35,-3.51,assets/replicated_charts/trade-like-a-stock-market-wizard-p196-aapl_replicated.png
trade-like-a-stock-market-wizard-p235-MGA,MGA,shakeout,2011-01-27,30.75,8.0,8,constructive,-0.59,-22.51,assets/replicated_charts/trade-like-a-stock-market-wizard-p235-mga_replicated.png
think-and-trade-like-a-champion-p090-CROX,CROX,failed-setup,2009-10-15,8.0,8.0,8,constructive,0.0,-35.12,assets/replicated_charts/think-and-trade-like-a-champion-p090-crox_replicated.png
trade-like-a-stock-market-wizard-p235-DECK,DECK,shakeout,2008-01-07,7.38,8.0,8,tightening,11.57,-16.37,assets/replicated_charts/trade-like-a-stock-market-wizard-p235-deck_replicated.png
